,Name,Num Entries,Year,Time,Record Identifier,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW
45359,               ALEX,25,8/5/2004,1800,  , HU, 42.7N,  55.0W,90.0,970.0,75.0,300.0,300.0,75.0,50.0,75.0,50.0,30.0,25.0,50.0,25.0,0.0
45360,               ALEX,25,8/6/2004, 0000,  , HU, 44.5N,  49.3W,75.0,978.0,75.0,300.0,300.0,75.0,50.0,75.0,50.0,30.0,25.0,50.0,25.0,0.0
45361,               ALEX,25,8/6/2004, 0600,  , HU, 46.1N,  44.2W,65.0,984.0,75.0,300.0,300.0,75.0,50.0,75.0,50.0,30.0,25.0,50.0,25.0,0.0
45362,               ALEX,25,8/6/2004,1200,  , TS, 47.0N,  37.5W,50.0,987.0,75.0,300.0,300.0,75.0,50.0,75.0,50.0,30.0,0.0,0.0,0.0,0.0
45363,               ALEX,25,8/6/2004,1800,  , EX, 47.4N,  32.7W,30.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45365,             BONNIE,44,8/3/2004,1200,  , TD, 12.9N,  53.6W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45366,             BONNIE,44,8/3/2004,1800,  , TD, 13.2N,  55.4W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45367,             BONNIE,44,8/4/2004, 0000,  , TD, 13.5N,  57.4W,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45368,             BONNIE,44,8/4/2004, 0600,  , TD, 13.6N,  59.5W,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45369,             BONNIE,44,8/4/2004,1200,  , TD, 13.6N,  61.6W,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45370,             BONNIE,44,8/4/2004,1800,  , WV, 13.7N,  63.7W,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45371,             BONNIE,44,8/5/2004, 0000,  , WV, 14.0N,  65.7W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45372,             BONNIE,44,8/5/2004, 0600,  , WV, 14.9N,  67.7W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45373,             BONNIE,44,8/5/2004,1200,  , WV, 16.0N,  69.7W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45374,             BONNIE,44,8/5/2004,1800,  , WV, 16.5N,  71.5W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45375,             BONNIE,44,8/6/2004, 0000,  , WV, 17.0N,  73.0W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45376,             BONNIE,44,8/6/2004, 0600,  , WV, 17.1N,  74.6W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45377,             BONNIE,44,8/6/2004,1200,  , WV, 17.2N,  76.2W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45378,             BONNIE,44,8/6/2004,1800,  , WV, 17.0N,  77.2W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45379,             BONNIE,44,8/7/2004, 0000,  , WV, 17.1N,  78.2W,25.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45380,             BONNIE,44,8/7/2004, 0600,  , WV, 17.4N,  79.2W,20.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45381,             BONNIE,44,8/7/2004,1200,  , WV, 17.8N,  80.2W,20.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45382,             BONNIE,44,8/7/2004,1800,  , WV, 18.4N,  81.1W,20.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45383,             BONNIE,44,8/8/2004, 0000,  , WV, 19.0N,  81.9W,20.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45384,             BONNIE,44,8/8/2004, 0600,  , WV, 19.7N,  82.7W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45385,             BONNIE,44,8/8/2004,1200,  , TD, 20.3N,  83.5W,25.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45386,             BONNIE,44,8/8/2004,1800,  , TD, 20.9N,  84.3W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45387,             BONNIE,44,8/9/2004, 0000,  , TD, 21.5N,  85.5W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45388,             BONNIE,44,8/9/2004, 0600,  , TD, 22.0N,  86.6W,30.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45389,             BONNIE,44,8/9/2004,1200,  , TS, 22.5N,  87.6W,35.0,1008.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45390,             BONNIE,44,8/9/2004,1800,  , TS, 22.9N,  88.3W,40.0,1007.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45391,             BONNIE,44,8/10/2004, 0000,  , TS, 23.1N,  89.0W,45.0,1006.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45392,             BONNIE,44,8/10/2004, 0600,  , TS, 23.4N,  89.8W,45.0,1005.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45393,             BONNIE,44,8/10/2004,1200,  , TS, 24.0N,  90.6W,50.0,1002.0,25.0,25.0,25.0,25.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0
45394,             BONNIE,44,8/10/2004,1800,  , TS, 24.4N,  90.6W,45.0,1003.0,25.0,40.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45395,             BONNIE,44,8/11/2004, 0000,  , TS, 24.7N,  90.6W,40.0,1003.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45396,             BONNIE,44,8/11/2004, 0600,  , TS, 25.2N,  90.6W,40.0,1003.0,35.0,45.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45397,             BONNIE,44,8/11/2004,1200,  , TS, 25.7N,  90.4W,45.0,1001.0,45.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45398,             BONNIE,44,8/11/2004,1800,  , TS, 26.4N,  89.6W,55.0,1001.0,45.0,60.0,25.0,25.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0
45399,             BONNIE,44,8/12/2004, 0000,  , TS, 27.0N,  88.8W,50.0,1007.0,45.0,60.0,25.0,25.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0
45400,             BONNIE,44,8/12/2004, 0600,  , TS, 27.7N,  88.1W,45.0,1008.0,45.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45401,             BONNIE,44,8/12/2004,1200,  , TS, 29.0N,  86.1W,45.0,1002.0,45.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45403,             BONNIE,44,8/12/2004,1800,  , TD, 30.2N,  84.0W,30.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45404,             BONNIE,44,8/13/2004, 0000,  , TD, 31.9N,  81.3W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45405,             BONNIE,44,8/13/2004, 0600,  , TD, 33.5N,  79.0W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45406,             BONNIE,44,8/13/2004,1200,  , TD, 35.5N,  76.5W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45407,             BONNIE,44,8/13/2004,1800,  , TD, 37.1N,  74.9W,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45408,             BONNIE,44,8/14/2004, 0000,  , LO, 39.0N,  73.5W,20.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45410,            CHARLEY,30,8/9/2004,1200,  , TD, 11.4N,  59.2W,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45411,            CHARLEY,30,8/9/2004,1800,  , TD, 11.7N,  61.1W,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45412,            CHARLEY,30,8/10/2004, 0000,  , TD, 12.2N,  63.2W,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45413,            CHARLEY,30,8/10/2004, 0600,  , TS, 12.9N,  65.3W,35.0,1007.0,75.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45414,            CHARLEY,30,8/10/2004,1200,  , TS, 13.8N,  67.6W,40.0,1004.0,90.0,50.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45415,            CHARLEY,30,8/10/2004,1800,  , TS, 14.9N,  69.8W,45.0,1000.0,90.0,50.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45416,            CHARLEY,30,8/11/2004, 0000,  , TS, 15.6N,  71.8W,55.0,999.0,90.0,50.0,0.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45417,            CHARLEY,30,8/11/2004, 0600,  , TS, 16.0N,  73.7W,55.0,999.0,90.0,50.0,0.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45418,            CHARLEY,30,8/11/2004,1200,  , TS, 16.3N,  75.4W,60.0,995.0,90.0,75.0,0.0,75.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
45419,            CHARLEY,30,8/11/2004,1800,  , HU, 16.7N,  76.8W,65.0,993.0,90.0,75.0,0.0,75.0,40.0,0.0,0.0,40.0,25.0,0.0,0.0,25.0
45420,            CHARLEY,30,8/12/2004, 0000,  , HU, 17.4N,  78.1W,65.0,992.0,90.0,75.0,30.0,75.0,40.0,0.0,0.0,40.0,25.0,0.0,0.0,25.0
45421,            CHARLEY,30,8/12/2004, 0600,  , HU, 18.2N,  79.3W,75.0,988.0,90.0,75.0,30.0,75.0,50.0,20.0,0.0,40.0,20.0,0.0,0.0,20.0
45422,            CHARLEY,30,8/12/2004,1200,  , HU, 19.2N,  80.7W,80.0,984.0,90.0,90.0,30.0,75.0,50.0,30.0,20.0,40.0,20.0,15.0,10.0,20.0
45423,            CHARLEY,30,8/12/2004,1800,  , HU, 20.5N,  81.6W,90.0,980.0,90.0,90.0,40.0,90.0,60.0,50.0,20.0,40.0,25.0,20.0,10.0,20.0
45424,            CHARLEY,30,8/13/2004, 0000,  , HU, 21.7N,  82.2W,90.0,976.0,90.0,90.0,45.0,90.0,60.0,50.0,20.0,40.0,25.0,20.0,10.0,20.0
45426,            CHARLEY,30,8/13/2004, 0600,  , HU, 23.0N,  82.6W,105.0,966.0,90.0,90.0,45.0,90.0,60.0,50.0,20.0,40.0,25.0,20.0,10.0,20.0
45427,            CHARLEY,30,8/13/2004,1200,  , HU, 24.4N,  82.9W,95.0,969.0,90.0,90.0,75.0,75.0,50.0,50.0,40.0,40.0,25.0,25.0,15.0,15.0
45428,            CHARLEY,30,8/13/2004,1800,  , HU, 26.1N,  82.4W,125.0,947.0,40.0,75.0,75.0,50.0,30.0,40.0,40.0,25.0,20.0,20.0,10.0,10.0
45431,            CHARLEY,30,8/14/2004, 0000,  , HU, 28.1N,  81.6W,75.0,970.0,40.0,75.0,40.0,40.0,30.0,40.0,30.0,25.0,20.0,20.0,20.0,10.0
45432,            CHARLEY,30,8/14/2004, 0600,  , HU, 30.1N,  80.8W,75.0,993.0,75.0,100.0,40.0,40.0,50.0,75.0,30.0,25.0,25.0,50.0,20.0,10.0
45433,            CHARLEY,30,8/14/2004,1200,  , HU, 32.3N,  79.7W,65.0,988.0,75.0,100.0,40.0,40.0,50.0,75.0,0.0,0.0,25.0,40.0,0.0,0.0
45436,            CHARLEY,30,8/14/2004,1800,  , TS, 34.5N,  78.1W,60.0,1000.0,75.0,75.0,30.0,30.0,50.0,50.0,15.0,15.0,0.0,0.0,0.0,0.0
45437,            CHARLEY,30,8/15/2004, 0000,  , EX, 36.9N,  75.9W,40.0,1012.0,75.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45438,            CHARLEY,30,8/15/2004, 0600,  , EX, 39.3N,  73.8W,35.0,1014.0,75.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45439,            CHARLEY,30,8/15/2004,1200,  , EX, 41.2N,  71.1W,30.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45441,           DANIELLE,46,8/13/2004,1200,  , TD, 12.3N,  21.8W,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45442,           DANIELLE,46,8/13/2004,1800,  , TD, 12.4N,  23.0W,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45443,           DANIELLE,46,8/14/2004, 0000,  , TS, 12.6N,  24.2W,35.0,1009.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45444,           DANIELLE,46,8/14/2004, 0600,  , TS, 12.9N,  25.5W,40.0,1004.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45445,           DANIELLE,46,8/14/2004,1200,  , TS, 13.2N,  26.8W,45.0,1004.0,60.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45446,           DANIELLE,46,8/14/2004,1800,  , TS, 13.5N,  28.1W,55.0,994.0,90.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0
45447,           DANIELLE,46,8/15/2004, 0000,  , HU, 13.8N,  29.3W,65.0,987.0,120.0,75.0,75.0,90.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0
45448,           DANIELLE,46,8/15/2004, 0600,  , HU, 14.1N,  30.8W,75.0,981.0,120.0,75.0,75.0,100.0,50.0,40.0,40.0,50.0,25.0,20.0,20.0,25.0
45449,           DANIELLE,46,8/15/2004,1200,  , HU, 14.7N,  32.1W,80.0,978.0,120.0,75.0,75.0,120.0,75.0,40.0,40.0,75.0,25.0,20.0,20.0,25.0
45450,           DANIELLE,46,8/15/2004,1800,  , HU, 15.2N,  33.5W,85.0,975.0,120.0,75.0,75.0,120.0,60.0,40.0,40.0,60.0,25.0,25.0,20.0,25.0
45451,           DANIELLE,46,8/16/2004, 0000,  , HU, 16.0N,  34.8W,90.0,970.0,100.0,90.0,60.0,100.0,40.0,60.0,30.0,40.0,20.0,20.0,15.0,20.0
45452,           DANIELLE,46,8/16/2004, 0600,  , HU, 16.8N,  36.0W,90.0,970.0,90.0,90.0,60.0,90.0,40.0,60.0,30.0,40.0,20.0,20.0,15.0,20.0
45453,           DANIELLE,46,8/16/2004,1200,  , HU, 17.7N,  37.2W,90.0,970.0,75.0,90.0,60.0,75.0,60.0,60.0,40.0,40.0,20.0,20.0,20.0,20.0
45454,           DANIELLE,46,8/16/2004,1800,  , HU, 19.0N,  38.2W,95.0,964.0,75.0,90.0,60.0,60.0,60.0,60.0,40.0,40.0,25.0,25.0,20.0,20.0
45455,           DANIELLE,46,8/17/2004, 0000,  , HU, 20.3N,  38.9W,95.0,965.0,90.0,90.0,60.0,60.0,70.0,70.0,40.0,40.0,25.0,25.0,20.0,20.0
45456,           DANIELLE,46,8/17/2004, 0600,  , HU, 21.7N,  39.6W,90.0,970.0,90.0,90.0,60.0,60.0,70.0,70.0,30.0,30.0,25.0,25.0,15.0,15.0
45457,           DANIELLE,46,8/17/2004,1200,  , HU, 23.3N,  40.0W,90.0,970.0,90.0,90.0,60.0,60.0,70.0,70.0,30.0,30.0,25.0,25.0,10.0,10.0
45458,           DANIELLE,46,8/17/2004,1800,  , HU, 24.6N,  40.3W,85.0,974.0,90.0,90.0,60.0,60.0,70.0,70.0,30.0,30.0,20.0,20.0,20.0,20.0
45459,           DANIELLE,46,8/18/2004, 0000,  , HU, 25.9N,  40.6W,75.0,981.0,90.0,90.0,60.0,60.0,60.0,60.0,40.0,30.0,20.0,20.0,20.0,15.0
45460,           DANIELLE,46,8/18/2004, 0600,  , HU, 27.3N,  40.3W,65.0,985.0,90.0,60.0,40.0,60.0,50.0,30.0,20.0,20.0,20.0,20.0,0.0,0.0
45461,           DANIELLE,46,8/18/2004,1200,  , TS, 28.1N,  39.8W,55.0,994.0,90.0,60.0,0.0,60.0,50.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
45462,           DANIELLE,46,8/18/2004,1800,  , TS, 28.9N,  38.9W,45.0,1005.0,90.0,60.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45463,           DANIELLE,46,8/19/2004, 0000,  , TS, 29.3N,  37.8W,40.0,1007.0,90.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45464,           DANIELLE,46,8/19/2004, 0600,  , TS, 29.7N,  37.7W,40.0,1007.0,90.0,50.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45465,           DANIELLE,46,8/19/2004,1200,  , TS, 29.9N,  37.7W,35.0,1007.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45466,           DANIELLE,46,8/19/2004,1800,  , TS, 29.9N,  37.2W,35.0,1007.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45467,           DANIELLE,46,8/20/2004, 0000,  , TS, 29.8N,  36.8W,35.0,1009.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45468,           DANIELLE,46,8/20/2004, 0600,  , TS, 30.2N,  37.0W,35.0,1010.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45469,           DANIELLE,46,8/20/2004,1200,  , TS, 30.5N,  37.2W,35.0,1011.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45470,           DANIELLE,46,8/20/2004,1800,  , TD, 30.9N,  37.6W,30.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45471,           DANIELLE,46,8/21/2004, 0000,  , TD, 30.9N,  38.0W,30.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45472,           DANIELLE,46,8/21/2004, 0600,  , TD, 30.6N,  38.6W,30.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45473,           DANIELLE,46,8/21/2004,1200,  , TD, 30.7N,  38.9W,25.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45474,           DANIELLE,46,8/21/2004,1800,  , LO, 30.5N,  39.2W,25.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45475,           DANIELLE,46,8/22/2004, 0000,  , LO, 30.3N,  39.8W,25.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45476,           DANIELLE,46,8/22/2004, 0600,  , LO, 30.2N,  40.3W,25.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45477,           DANIELLE,46,8/22/2004,1200,  , LO, 30.3N,  40.8W,25.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45478,           DANIELLE,46,8/22/2004,1800,  , LO, 30.4N,  41.2W,25.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45479,           DANIELLE,46,8/23/2004, 0000,  , LO, 30.8N,  42.0W,25.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45480,           DANIELLE,46,8/23/2004, 0600,  , LO, 31.7N,  42.5W,25.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45481,           DANIELLE,46,8/23/2004,1200,  , LO, 32.3N,  43.3W,25.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45482,           DANIELLE,46,8/23/2004,1800,  , LO, 33.1N,  43.8W,25.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45483,           DANIELLE,46,8/24/2004, 0000,  , LO, 33.9N,  44.2W,20.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45484,           DANIELLE,46,8/24/2004, 0600,  , LO, 34.7N,  44.6W,20.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45485,           DANIELLE,46,8/24/2004,1200,  , LO, 35.5N,  45.0W,20.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45486,           DANIELLE,46,8/24/2004,1800,  , LO, 36.4N,  45.2W,20.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45488,               EARL,9,8/13/2004,1800,  , TD,  9.0N,  45.6W,30.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
